rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name
3296,"{""prolific_id"":""5decaac46e09cf3792805023""}",survey-text,0,3303,0.0-0.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,,,,
,,preload,1,5503,0.0-1.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,true,false,[],[],[],,,,,
2932, ,html-keyboard-response,2,8437,0.0-2.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,
2046,y,html-keyboard-response,3,10483,0.0-3.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,
31204,"{""instructions1"":""a park""}",survey-text,4,41694,0.0-4.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,instructions,,,
29042,"{""instructions2"":""Yes""}",survey-text,5,70740,0.0-5.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,instructions,,,
63620,"{""map_attention"":""Maps showing a small city, park, and destinations"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (urgent care, bus stop, coffee shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,134362,0.0-6.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,,,"[0,1,2]",,
6162,50,html-slider-response,7,140526,0.0-7.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_hospital_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_hospital_grass_wandering.png
5736,47,html-slider-response,8,146263,0.0-8.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_bus_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_bus_grass_wandering.png
4746,100,html-slider-response,9,151011,0.0-9.0,1,1,2024-07-22 20:19:40,c42334ae11bd6e373fa9fec6f52302a2,174.26.31.217,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",nugbygg0z,5decaac46e09cf3792805023,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_hospital_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_sidewalk_shortest.png
